ihh,title,author,genre,quantity,shelf,ISBN,category
B00070,The Midnight Library — Library00070,Matt Haig,Fiction,4,A20,LIB0000000070,Leisure
B00071,Pride and Prejudice — Library00071,Jane Austen,Romance,5,A21,LIB0000000071,Leisure
B00072,To Kill a Mockingbird — Library00072,Harper Lee,Fiction,0,A22,LIB0000000072,Leisure
B00073,Pride and Prejudice — Library00073,Jane Austen,Romance,0,A23,LIB0000000073,Leisure
B00074,Rich Dad Poor Dad — Library00074,Robert Kiyosaki,Finance,2,A24,LIB0000000074,Academic
B00075,The Catcher in the Rye — Library00075,J.D. Salinger,Coming-of-Age,2,A25,LIB0000000075,Leisure
B00076,Percy Jackson: The Lightning Thief — Library00076,Rick Riordan,Fantasy,1,A26,LIB0000000076,Leisure
B00077,Ikigai — Library00077,Héctor García,Self-Help,4,A27,LIB0000000077,Leisure
B00078,The Diary of a Young Girl — Library00078,Anne Frank,Biography,5,A28,LIB0000000078,Leisure
B00079,To Kill a Mockingbird — Library00079,Harper Lee,Fiction,1,A29,LIB0000000079,Leisure
B00080,The Silent Patient — Library00080,Alex Michaelides,Thriller,3,A30,LIB0000000080,Leisure
B00081,The Catcher in the Rye — Library00081,J.D. Salinger,Coming-of-Age,5,A31,LIB0000000081,Leisure
B00082,The Kite Runner — Library00082,Khaled Hosseini,Historical Fiction,1,A32,LIB0000000082,Leisure
B00083,1984 — Library00083,George Orwell,Dystopian,1,A33,LIB0000000083,Leisure
B00084,Pride and Prejudice — Library00084,Jane Austen,Romance,5,A34,LIB0000000084,Leisure
B00085,Angels & Demons — Library00085,Dan Brown,Thriller,4,A35,LIB0000000085,Leisure
B00086,1984 — Library00086,George Orwell,Dystopian,5,A36,LIB0000000086,Leisure
B00087,Sherlock Holmes — Library00087,Arthur Conan Doyle,Mystery,3,A37,LIB0000000087,Leisure
B00088,The Diary of a Young Girl — Library00088,Anne Frank,Biography,4,A38,LIB0000000088,Leisure
B00089,The Catcher in the Rye — Library00089,J.D. Salinger,Coming-of-Age,2,A39,LIB0000000089,Leisure
B00090,Pride and Prejudice — Library00090,Jane Austen,Romance,1,A40,LIB0000000090,Leisure
B00091,The Da Vinci Code — Library00091,Dan Brown,Mystery,3,A41,LIB0000000091,Leisure
B00092,Percy Jackson: The Lightning Thief — Library00092,Rick Riordan,Fantasy,0,A42,LIB0000000092,Leisure
B00093,Educated — Library00093,Tara Westover,Memoir,0,A43,LIB0000000093,Leisure
B00094,The Alchemist — Library00094,Paulo Coelho,Fiction,5,A44,LIB0000000094,Leisure
B00095,The Book Thief — Library00095,Markus Zusak,Historical Fiction,5,A45,LIB0000000095,Leisure
B00096,The Fault in Our Stars — Library00096,John Green,Romance,4,A46,LIB0000000096,Leisure
B00097,Percy Jackson: The Lightning Thief — Library00097,Rick Riordan,Fantasy,3,A47,LIB0000000097,Leisure
B00098,The Catcher in the Rye — Library00098,J.D. Salinger,Coming-of-Age,4,A48,LIB0000000098,Leisure
B00099,The Kite Runner — Library00099,Khaled Hosseini,Historical Fiction,4,A49,LIB0000000099,Leisure
B00100,1984 — Library00100,George Orwell,Dystopian,4,A50,LIB0000000100,Leisure
B00101,Educated — Library00101,Tara Westover,Memoir,0,A1,LIB0000000101,Leisure
B00102,It Ends with Us — Library00102,Colleen Hoover,Romance,5,A2,LIB0000000102,Leisure
B00103,"The Lion, the Witch and the Wardrobe — Library00103",C.S. Lewis,Fantasy,5,A3,LIB0000000103,Leisure
B00104,The Diary of a Young Girl — Library00104,Anne Frank,Biography,4,A4,LIB0000000104,Leisure
B00105,The Psychology of Money — Library00105,Morgan Housel,Finance,2,A5,LIB0000000105,Academic
B00106,The Psychology of Money — Library00106,Morgan Housel,Finance,5,A6,LIB0000000106,Academic
B00107,To Kill a Mockingbird — Library00107,Harper Lee,Fiction,0,A7,LIB0000000107,Leisure
B00108,Animal Farm — Library00108,George Orwell,Satire,3,A8,LIB0000000108,Leisure
B00109,The Book Thief — Library00109,Markus Zusak,Historical Fiction,3,A9,LIB0000000109,Leisure
B00110,Harry Potter and the Philosopher's Stone — Library00110,J.K. Rowling,Fantasy,5,A10,LIB0000000110,Leisure
B00111,The Diary of a Young Girl — Library00111,Anne Frank,Biography,5,A11,LIB0000000111,Leisure
B00112,1984 — Library00112,George Orwell,Dystopian,4,A12,LIB0000000112,Leisure
B00113,The Psychology of Money — Library00113,Morgan Housel,Finance,1,A13,LIB0000000113,Academic
B00114,The Da Vinci Code — Library00114,Dan Brown,Mystery,0,A14,LIB0000000114,Leisure
B00115,Educated — Library00115,Tara Westover,Memoir,5,A15,LIB0000000115,Leisure
B00116,Animal Farm — Library00116,George Orwell,Satire,5,A16,LIB0000000116,Leisure
B00117,The Da Vinci Code — Library00117,Dan Brown,Mystery,4,A17,LIB0000000117,Leisure
B00118,The Hunger Games — Library00118,Suzanne Collins,Dystopian,1,A18,LIB0000000118,Leisure
B00119,The Great Gatsby — Library00119,F. Scott Fitzgerald,Classic,1,A19,LIB0000000119,Leisure
B00120,Angels & Demons — Library00120,Dan Brown,Thriller,4,A20,LIB0000000120,Leisure
B00121,Ikigai — Library00121,Héctor García,Self-Help,0,A21,LIB0000000121,Leisure
B00122,Murder on the Orient Express — Library00122,Agatha Christie,Mystery,2,A22,LIB0000000122,Leisure
B00123,A Thousand Splendid Suns — Library00123,Khaled Hosseini,Historical Fiction,0,A23,LIB0000000123,Leisure
B00124,"The Lion, the Witch and the Wardrobe — Library00124",C.S. Lewis,Fantasy,2,A24,LIB0000000124,Leisure
B00125,The Diary of a Young Girl — Library00125,Anne Frank,Biography,2,A25,LIB0000000125,Leisure
B00126,Pride and Prejudice — Library00126,Jane Austen,Romance,0,A26,LIB0000000126,Leisure
B00127,Pride and Prejudice — Library00127,Jane Austen,Romance,4,A27,LIB0000000127,Leisure
B00128,Percy Jackson: The Lightning Thief — Library00128,Rick Riordan,Fantasy,0,A28,LIB0000000128,Leisure
B00129,Atomic Habits — Library00129,James Clear,Self-Help,3,A29,LIB0000000129,Leisure
B00130,Sapiens — Library00130,Yuval Noah Harari,History,0,A30,LIB0000000130,Leisure
B00131,The Psychology of Money — Library00131,Morgan Housel,Finance,4,A31,LIB0000000131,Academic
B00132,The Psychology of Money — Library00132,Morgan Housel,Finance,1,A32,LIB0000000132,Academic
B00133,The Alchemist — Library00133,Paulo Coelho,Fiction,5,A33,LIB0000000133,Leisure
B00134,A Thousand Splendid Suns — Library00134,Khaled Hosseini,Historical Fiction,4,A34,LIB0000000134,Leisure
B00135,The Book Thief — Library00135,Markus Zusak,Historical Fiction,2,A35,LIB0000000135,Leisure
B00136,The Da Vinci Code — Library00136,Dan Brown,Mystery,4,A36,LIB0000000136,Leisure
B00137,The Fault in Our Stars — Library00137,John Green,Romance,1,A37,LIB0000000137,Leisure
B00138,Ikigai — Library00138,Héctor García,Self-Help,4,A38,LIB0000000138,Leisure
B00139,The Psychology of Money — Library00139,Morgan Housel,Finance,5,A39,LIB0000000139,Academic
B00140,The Midnight Library — Library00140,Matt Haig,Fiction,1,A40,LIB0000000140,Leisure
B00141,The Midnight Library — Library00141,Matt Haig,Fiction,2,A41,LIB0000000141,Leisure
B00142,The Catcher in the Rye — Library00142,J.D. Salinger,Coming-of-Age,5,A42,LIB0000000142,Leisure
B00143,The Silent Patient — Library00143,Alex Michaelides,Thriller,2,A43,LIB0000000143,Leisure
B00144,The Kite Runner — Library00144,Khaled Hosseini,Historical Fiction,4,A44,LIB0000000144,Leisure
B00145,The Kite Runner — Library00145,Khaled Hosseini,Historical Fiction,0,A45,LIB0000000145,Leisure
B00146,Pride and Prejudice — Library00146,Jane Austen,Romance,1,A46,LIB0000000146,Leisure
B00147,Percy Jackson: The Lightning Thief — Library00147,Rick Riordan,Fantasy,2,A47,LIB0000000147,Leisure
B00148,Harry Potter and the Philosopher's Stone — Library00148,J.K. Rowling,Fantasy,4,A48,LIB0000000148,Leisure
B00149,Angels & Demons — Library00149,Dan Brown,Thriller,1,A49,LIB0000000149,Leisure
B00150,Sherlock Holmes — Library00150,Arthur Conan Doyle,Mystery,1,A50,LIB0000000150,Leisure
B00151,Harry Potter and the Philosopher's Stone — Library00151,J.K. Rowling,Fantasy,0,A1,LIB0000000151,Leisure
B00152,The Midnight Library — Library00152,Matt Haig,Fiction,5,A2,LIB0000000152,Leisure
B00153,The Hobbit — Library00153,J.R.R. Tolkien,Fantasy,1,A3,LIB0000000153,Leisure
B00154,Percy Jackson: The Lightning Thief — Library00154,Rick Riordan,Fantasy,0,A4,LIB0000000154,Leisure
B00155,Educated — Library00155,Tara Westover,Memoir,2,A5,LIB0000000155,Leisure
B00156,Percy Jackson: The Lightning Thief — Library00156,Rick Riordan,Fantasy,4,A6,LIB0000000156,Leisure
B00157,Pride and Prejudice — Library00157,Jane Austen,Romance,2,A7,LIB0000000157,Leisure
B00158,It Ends with Us — Library00158,Colleen Hoover,Romance,3,A8,LIB0000000158,Leisure
B00159,The Hunger Games — Library00159,Suzanne Collins,Dystopian,4,A9,LIB0000000159,Leisure
B00160,The Alchemist — Library00160,Paulo Coelho,Fiction,5,A10,LIB0000000160,Leisure
B00161,Ikigai — Library00161,Héctor García,Self-Help,4,A11,LIB0000000161,Leisure
B00162,Sherlock Holmes — Library00162,Arthur Conan Doyle,Mystery,3,A12,LIB0000000162,Leisure
B00163,Pride and Prejudice — Library00163,Jane Austen,Romance,3,A13,LIB0000000163,Leisure
B00164,Rich Dad Poor Dad — Library00164,Robert Kiyosaki,Finance,3,A14,LIB0000000164,Academic
B00165,The Hunger Games — Library00165,Suzanne Collins,Dystopian,0,A15,LIB0000000165,Leisure
B00166,"The Lion, the Witch and the Wardrobe — Library00166",C.S. Lewis,Fantasy,5,A16,LIB0000000166,Leisure
B00167,The Fault in Our Stars — Library00167,John Green,Romance,2,A17,LIB0000000167,Leisure
B00168,The Fault in Our Stars — Library00168,John Green,Romance,3,A18,LIB0000000168,Leisure
B00169,The Kite Runner — Library00169,Khaled Hosseini,Historical Fiction,5,A19,LIB0000000169,Leisure
B00170,The Hobbit — Library00170,J.R.R. Tolkien,Fantasy,5,A20,LIB0000000170,Leisure
B00171,The Silent Patient — Library00171,Alex Michaelides,Thriller,5,A21,LIB0000000171,Leisure
B00172,"The Lion, the Witch and the Wardrobe — Library00172",C.S. Lewis,Fantasy,0,A22,LIB0000000172,Leisure
B00173,The Catcher in the Rye — Library00173,J.D. Salinger,Coming-of-Age,5,A23,LIB0000000173,Leisure
B00174,To Kill a Mockingbird — Library00174,Harper Lee,Fiction,0,A24,LIB0000000174,Leisure
B00175,Pride and Prejudice — Library00175,Jane Austen,Romance,1,A25,LIB0000000175,Leisure
B00176,The Hunger Games — Library00176,Suzanne Collins,Dystopian,4,A26,LIB0000000176,Leisure
B00177,The Kite Runner — Library00177,Khaled Hosseini,Historical Fiction,1,A27,LIB0000000177,Leisure
B00178,The Fault in Our Stars — Library00178,John Green,Romance,1,A28,LIB0000000178,Leisure
B00179,1984 — Library00179,George Orwell,Dystopian,3,A29,LIB0000000179,Leisure
B00180,Pride and Prejudice — Library00180,Jane Austen,Romance,0,A30,LIB0000000180,Leisure
B00181,The Kite Runner — Library00181,Khaled Hosseini,Historical Fiction,4,A31,LIB0000000181,Leisure
B00182,"The Lion, the Witch and the Wardrobe — Library00182",C.S. Lewis,Fantasy,0,A32,LIB0000000182,Leisure
B00183,The Silent Patient — Library00183,Alex Michaelides,Thriller,4,A33,LIB0000000183,Leisure
B00184,Sapiens — Library00184,Yuval Noah Harari,History,0,A34,LIB0000000184,Leisure
B00185,Percy Jackson: The Lightning Thief — Library00185,Rick Riordan,Fantasy,1,A35,LIB0000000185,Leisure
B00186,The Book Thief — Library00186,Markus Zusak,Historical Fiction,3,A36,LIB0000000186,Leisure
B00187,A Thousand Splendid Suns — Library00187,Khaled Hosseini,Historical Fiction,3,A37,LIB0000000187,Leisure
B00188,The Hunger Games — Library00188,Suzanne Collins,Dystopian,3,A38,LIB0000000188,Leisure
B00189,The Diary of a Young Girl — Library00189,Anne Frank,Biography,0,A39,LIB0000000189,Leisure
B00190,The Book Thief — Library00190,Markus Zusak,Historical Fiction,3,A40,LIB0000000190,Leisure
B00191,Harry Potter and the Philosopher's Stone — Library00191,J.K. Rowling,Fantasy,3,A41,LIB0000000191,Leisure
B00192,1984 — Library00192,George Orwell,Dystopian,3,A42,LIB0000000192,Leisure
B00193,Animal Farm — Library00193,George Orwell,Satire,3,A43,LIB0000000193,Leisure
B00194,The Midnight Library — Library00194,Matt Haig,Fiction,5,A44,LIB0000000194,Leisure
B00195,Rich Dad Poor Dad — Library00195,Robert Kiyosaki,Finance,4,A45,LIB0000000195,Academic
B00196,It Ends with Us — Library00196,Colleen Hoover,Romance,5,A46,LIB0000000196,Leisure
B00197,A Thousand Splendid Suns — Library00197,Khaled Hosseini,Historical Fiction,1,A47,LIB0000000197,Leisure
B00198,The Hunger Games — Library00198,Suzanne Collins,Dystopian,2,A48,LIB0000000198,Leisure
B00199,The Hunger Games — Library00199,Suzanne Collins,Dystopian,0,A49,LIB0000000199,Leisure
B00200,Sherlock Holmes — Library00200,Arthur Conan Doyle,Mystery,5,A50,LIB0000000200,Leisure
B00201,Angels & Demons — Library00201,Dan Brown,Thriller,0,A1,LIB0000000201,Leisure
B00202,Atomic Habits — Library00202,James Clear,Self-Help,2,A2,LIB0000000202,Leisure
B00203,The Hobbit — Library00203,J.R.R. Tolkien,Fantasy,0,A3,LIB0000000203,Leisure
B00204,Sherlock Holmes — Library00204,Arthur Conan Doyle,Mystery,3,A4,LIB0000000204,Leisure
B00205,The Da Vinci Code — Library00205,Dan Brown,Mystery,4,A5,LIB0000000205,Leisure
B00206,The Book Thief — Library00206,Markus Zusak,Historical Fiction,0,A6,LIB0000000206,Leisure
B00207,The Da Vinci Code — Library00207,Dan Brown,Mystery,0,A7,LIB0000000207,Leisure
B00208,Educated — Library00208,Tara Westover,Memoir,1,A8,LIB0000000208,Leisure
B00209,Percy Jackson: The Lightning Thief — Library00209,Rick Riordan,Fantasy,4,A9,LIB0000000209,Leisure
B00210,Percy Jackson: The Lightning Thief — Library00210,Rick Riordan,Fantasy,5,A10,LIB0000000210,Leisure
B00211,Educated — Library00211,Tara Westover,Memoir,1,A11,LIB0000000211,Leisure
B00212,The Catcher in the Rye — Library00212,J.D. Salinger,Coming-of-Age,0,A12,LIB0000000212,Leisure
B00213,The Diary of a Young Girl — Library00213,Anne Frank,Biography,4,A13,LIB0000000213,Leisure
B00214,Pride and Prejudice — Library00214,Jane Austen,Romance,4,A14,LIB0000000214,Leisure
B00215,Murder on the Orient Express — Library00215,Agatha Christie,Mystery,0,A15,LIB0000000215,Leisure
B00216,Murder on the Orient Express — Library00216,Agatha Christie,Mystery,0,A16,LIB0000000216,Leisure
B00217,The Fault in Our Stars — Library00217,John Green,Romance,5,A17,LIB0000000217,Leisure
B00218,Sherlock Holmes — Library00218,Arthur Conan Doyle,Mystery,4,A18,LIB0000000218,Leisure
B00219,The Da Vinci Code — Library00219,Dan Brown,Mystery,2,A19,LIB0000000219,Leisure
B00220,Ikigai — Library00220,Héctor García,Self-Help,2,A20,LIB0000000220,Leisure
B00221,The Hunger Games — Library00221,Suzanne Collins,Dystopian,5,A21,LIB0000000221,Leisure
B00222,The Midnight Library — Library00222,Matt Haig,Fiction,2,A22,LIB0000000222,Leisure
B00223,Pride and Prejudice — Library00223,Jane Austen,Romance,2,A23,LIB0000000223,Leisure
B00224,The Catcher in the Rye — Library00224,J.D. Salinger,Coming-of-Age,1,A24,LIB0000000224,Leisure
B00225,It Ends with Us — Library00225,Colleen Hoover,Romance,5,A25,LIB0000000225,Leisure
B00226,Animal Farm — Library00226,George Orwell,Satire,3,A26,LIB0000000226,Leisure
B00227,To Kill a Mockingbird — Library00227,Harper Lee,Fiction,0,A27,LIB0000000227,Leisure
B00228,Harry Potter and the Philosopher's Stone — Library00228,J.K. Rowling,Fantasy,3,A28,LIB0000000228,Leisure
B00229,Murder on the Orient Express — Library00229,Agatha Christie,Mystery,4,A29,LIB0000000229,Leisure
B00230,"The Lion, the Witch and the Wardrobe — Library00230",C.S. Lewis,Fantasy,0,A30,LIB0000000230,Leisure
B00231,Angels & Demons — Library00231,Dan Brown,Thriller,1,A31,LIB0000000231,Leisure
B00232,The Da Vinci Code — Library00232,Dan Brown,Mystery,2,A32,LIB0000000232,Leisure
B00233,The Alchemist — Library00233,Paulo Coelho,Fiction,2,A33,LIB0000000233,Leisure
B00234,The Diary of a Young Girl — Library00234,Anne Frank,Biography,0,A34,LIB0000000234,Leisure
B00235,The Diary of a Young Girl — Library00235,Anne Frank,Biography,1,A35,LIB0000000235,Leisure
B00236,The Great Gatsby — Library00236,F. Scott Fitzgerald,Classic,2,A36,LIB0000000236,Leisure
B00237,The Book Thief — Library00237,Markus Zusak,Historical Fiction,3,A37,LIB0000000237,Leisure
B00238,Sapiens — Library00238,Yuval Noah Harari,History,4,A38,LIB0000000238,Leisure
B00239,The Midnight Library — Library00239,Matt Haig,Fiction,2,A39,LIB0000000239,Leisure
B00240,Murder on the Orient Express — Library00240,Agatha Christie,Mystery,5,A40,LIB0000000240,Leisure
B00241,The Da Vinci Code — Library00241,Dan Brown,Mystery,0,A41,LIB0000000241,Leisure
B00242,It Ends with Us — Library00242,Colleen Hoover,Romance,4,A42,LIB0000000242,Leisure
B00243,Animal Farm — Library00243,George Orwell,Satire,5,A43,LIB0000000243,Leisure
B00244,"The Lion, the Witch and the Wardrobe — Library00244",C.S. Lewis,Fantasy,1,A44,LIB0000000244,Leisure
B00245,1984 — Library00245,George Orwell,Dystopian,0,A45,LIB0000000245,Leisure
B00246,The Diary of a Young Girl — Library00246,Anne Frank,Biography,0,A46,LIB0000000246,Leisure
B00247,Atomic Habits — Library00247,James Clear,Self-Help,4,A47,LIB0000000247,Leisure
B00248,The Alchemist — Library00248,Paulo Coelho,Fiction,2,A48,LIB0000000248,Leisure
B00249,Animal Farm — Library00249,George Orwell,Satire,4,A49,LIB0000000249,Leisure
B00250,The Hunger Games — Library00250,Suzanne Collins,Dystopian,5,A50,LIB0000000250,Leisure
B00251,To Kill a Mockingbird — Library00251,Harper Lee,Fiction,1,A1,LIB0000000251,Leisure
B00252,It Ends with Us — Library00252,Colleen Hoover,Romance,5,A2,LIB0000000252,Leisure
B00253,Educated — Library00253,Tara Westover,Memoir,2,A3,LIB0000000253,Leisure
B00254,The Da Vinci Code — Library00254,Dan Brown,Mystery,3,A4,LIB0000000254,Leisure
B00255,1984 — Library00255,George Orwell,Dystopian,0,A5,LIB0000000255,Leisure
B00256,Percy Jackson: The Lightning Thief — Library00256,Rick Riordan,Fantasy,5,A6,LIB0000000256,Leisure
B00257,The Fault in Our Stars — Library00257,John Green,Romance,2,A7,LIB0000000257,Leisure
B00258,The Hobbit — Library00258,J.R.R. Tolkien,Fantasy,0,A8,LIB0000000258,Leisure
B00259,To Kill a Mockingbird — Library00259,Harper Lee,Fiction,1,A9,LIB0000000259,Leisure
B00260,The Silent Patient — Library00260,Alex Michaelides,Thriller,2,A10,LIB0000000260,Leisure
B00261,The Book Thief — Library00261,Markus Zusak,Historical Fiction,5,A11,LIB0000000261,Leisure
B00262,The Kite Runner — Library00262,Khaled Hosseini,Historical Fiction,4,A12,LIB0000000262,Leisure
B00263,The Midnight Library — Library00263,Matt Haig,Fiction,3,A13,LIB0000000263,Leisure
B00264,Angels & Demons — Library00264,Dan Brown,Thriller,0,A14,LIB0000000264,Leisure
B00265,"The Lion, the Witch and the Wardrobe — Library00265",C.S. Lewis,Fantasy,0,A15,LIB0000000265,Leisure
B00266,The Diary of a Young Girl — Library00266,Anne Frank,Biography,5,A16,LIB0000000266,Leisure
B00267,The Diary of a Young Girl — Library00267,Anne Frank,Biography,1,A17,LIB0000000267,Leisure
B00268,Angels & Demons — Library00268,Dan Brown,Thriller,0,A18,LIB0000000268,Leisure
B00269,Sapiens — Library00269,Yuval Noah Harari,History,2,A19,LIB0000000269,Leisure
B00270,Sherlock Holmes — Library00270,Arthur Conan Doyle,Mystery,4,A20,LIB0000000270,Leisure
B00271,The Alchemist — Library00271,Paulo Coelho,Fiction,3,A21,LIB0000000271,Leisure
B00272,The Alchemist — Library00272,Paulo Coelho,Fiction,0,A22,LIB0000000272,Leisure
B00273,Animal Farm — Library00273,George Orwell,Satire,2,A23,LIB0000000273,Leisure
B00274,The Diary of a Young Girl — Library00274,Anne Frank,Biography,0,A24,LIB0000000274,Leisure
B00275,The Diary of a Young Girl — Library00275,Anne Frank,Biography,2,A25,LIB0000000275,Leisure
B00276,The Hunger Games — Library00276,Suzanne Collins,Dystopian,5,A26,LIB0000000276,Leisure
B00277,Pride and Prejudice — Library00277,Jane Austen,Romance,5,A27,LIB0000000277,Leisure
B00278,"The Lion, the Witch and the Wardrobe — Library00278",C.S. Lewis,Fantasy,2,A28,LIB0000000278,Leisure
B00279,The Psychology of Money — Library00279,Morgan Housel,Finance,4,A29,LIB0000000279,Academic
B00280,The Diary of a Young Girl — Library00280,Anne Frank,Biography,3,A30,LIB0000000280,Leisure
